n_points,naive_time,optimized_time,speedup,naive_clusters,optimized_clusters,naive_noise_pct,optimized_noise_pct,timestamps
1000,0.9620640277862549,0.06899523735046387,13.943919388224074,3,2,66.0,52.5,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
551528    2014-04-30 22:27:00
4150038   2014-09-04 19:04:00
1855089   2014-06-29 18:11:00
3775802   2014-09-03 09:03:00
3489451   2014-09-07 08:05:00
Name: pickup_time, Length: 1000, dtype: datetime64[us]"
2000,3.6330161094665527,0.1520709991455078,23.890262639691958,3,3,38.05,31.05,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
1727789   2014-06-10 08:14:00
866695    2014-05-03 09:17:00
664794    2014-05-09 00:09:00
4167446   2014-09-06 21:31:00
1724204   2014-06-09 16:49:00
Name: pickup_time, Length: 2000, dtype: datetime64[us]"
3000,8.224594354629517,0.2787313461303711,29.507245843754596,4,4,25.7,22.2,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
2798766   2014-08-15 06:46:00
3507940   2014-09-22 22:22:00
4215405   2014-09-13 19:53:00
4253888   2014-09-19 16:33:00
970152    2014-05-30 06:42:00
Name: pickup_time, Length: 3000, dtype: datetime64[us]"
4000,14.709384441375732,0.3651595115661621,40.28207940767438,4,4,22.025,20.175,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
1247688   2014-06-01 18:11:00
2609982   2014-07-25 15:11:00
4095863   2014-09-27 22:44:00
2354739   2014-07-23 17:06:00
3211046   2014-08-27 07:34:00
Name: pickup_time, Length: 4000, dtype: datetime64[us]"
5000,23.02189874649048,0.5321536064147949,43.26175463057131,4,6,20.86,17.98,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
1251259   2014-06-02 10:38:00
3212923   2014-08-27 11:35:00
1268584   2014-06-04 15:09:00
1075193   2014-05-13 21:30:00
1850834   2014-06-28 21:57:00
Name: pickup_time, Length: 5000, dtype: datetime64[us]"
6000,33.73450827598572,0.7063789367675781,47.756956670248904,5,8,19.28333333333333,15.866666666666667,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
3127952   2014-08-19 16:58:00
441295    2014-04-16 10:21:00
3997214   2014-09-19 18:29:00
2197646   2014-07-08 21:00:00
1501188   2014-06-04 18:49:00
Name: pickup_time, Length: 6000, dtype: datetime64[us]"
7000,46.75745987892151,0.7595877647399902,61.556362607982194,9,7,17.014285714285716,14.742857142857144,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
91374     2014-04-11 21:26:00
2233783   2014-07-12 12:47:00
1800512   2014-06-20 18:30:00
1925937   2014-07-03 19:07:00
3008469   2014-08-08 22:41:00
Name: pickup_time, Length: 7000, dtype: datetime64[us]"
8000,62.679931640625,0.9509239196777344,65.91477019724887,8,7,15.8,13.950000000000001,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
3014340   2014-08-09 15:16:00
790202    2014-05-23 06:46:00
2611188   2014-07-25 18:06:00
1633318   2014-06-26 06:21:00
2231046   2014-07-12 00:43:00
Name: pickup_time, Length: 8000, dtype: datetime64[us]"
9000,81.67981386184692,1.147690773010254,71.16883378578592,7,6,15.299999999999999,13.3,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
1044333   2014-05-09 14:21:00
2388553   2014-07-26 07:55:00
2601266   2014-07-24 10:35:00
272634    2014-04-16 11:26:00
518955    2014-04-26 23:04:00
Name: pickup_time, Length: 9000, dtype: datetime64[us]"
10000,103.59938430786133,1.3592283725738525,76.21926263331612,7,6,14.32,12.78,"385350    2014-04-08 11:56:00
4117041   2014-09-29 22:10:00
1227677   2014-06-15 13:19:00
2211981   2014-07-10 12:07:00
2778433   2014-08-12 17:51:00
                  ...        
38309     2014-04-01 19:37:00
2763330   2014-08-10 07:18:00
1233930   2014-06-21 06:54:00
1288046   2014-06-06 13:43:00
992368    2014-05-02 16:23:00
Name: pickup_time, Length: 10000, dtype: datetime64[us]"
